Group	shannon
MIA	1.824710357
MIA	2.025801225
AIS	2.436874149
BENIGN	1.972266717
IAC	2.268678179
IAC	0.944604453
IAC	0.551804773
IAC	1.73918723
MIA	1.139422525
IAC	2.014992732
AIS	2.430304473
MIA	2.589547393
MIA	2.240402253
BENIGN	1.321998207
MIA	2.765562227
IAC	1.808916015
MIA	2.164874067
AIS	1.75768068
IAC	0.81297346
MIA	2.31731224
IAC	1.450294541
AIS	1.58102337
IAC	2.660929468
MIA	2.6982748
MIA	2.552768522
AIS	2.381930125
MIA	1.93369683
BENIGN	1.272587729
AIS	2.371914916
AIS	2.262492375
IAC	2.570213486
MIA	2.677648022
AIS	2.159975993
MIA	2.771279547
AIS	2.866768348
BENIGN	0.6863252
AIS	2.378640386
IAC	2.396650014
IAC	2.553957643
IAC	2.225496427
IAC	3.044534758
IAC	2.629445237
MIA	1.256777605
MIA	1.697706091
IAC	2.305516583
MIA	1.876600025
IAC	2.306707535
IAC	2.423962697
IAC	1.486558002
IAC	2.525974746
MIA	2.525296077
IAC	2.555247195
MIA	1.248177809
MIA	2.487163368
IAC	2.849564468
IAC	2.987567052
IAC	1.682607741
AIS	2.634811215
IAC	2.974909649
AIS	1.925652884
MIA	2.567536277
IAC	2.34727286
MIA	2.518268021
IAC	2.814704042
MIA	2.609401716
IAC	2.039124064
MIA	2.093321955
MIA	2.763790892
IAC	2.550717098
IAC	2.439535117
MIA	2.657846026
IAC	2.290566631
BENIGN	2.038569664
IAC	0.973373527
BENIGN	2.589573449
IAC	2.169570113
AIS	1.47950659
IAC	1.835037594
AIS	2.347017249
IAC	1.287809657
MIA	2.329022373
MIA	2.420400649
IAC	1.203467816
IAC	1.022184353
AIS	2.710369271
MIA	1.373378339
IAC	2.089785059
IAC	1.526223771
IAC	2.049785534
IAC	2.63462038
IAC	1.607984319
AIS	2.002153128
IAC	1.745270193
IAC	2.693924817
IAC	2.009798373
MIA	1.978390493
AIS	2.464193838
MIA	2.244888653
MIA	1.237838058
AIS	2.332412456
AIS	2.292539309
IAC	1.591324634
IAC	1.972582975
IAC	1.888125901
IAC	2.393824805
MIA	2.1729222
AIS	2.402873548
AIS	2.131324354
MIA	2.022610786
MIA	2.794471847
MIA	2.410477696
IAC	2.113235776
IAC	1.797510811
MIA	2.600494805
MIA	2.311780408
