Source,Target,source.type,target.type,abs.r,r,p.n,p
(c)Alphaproteobacteria,MEdarkolivegreen,genus,trans,0.470676691729323,-0.470676691729323,neg,0.0362145516660009
(c)Alphaproteobacteria,MEdarkviolet,genus,trans,0.446616541353383,-0.446616541353383,neg,0.0483728331092669
(c)Alphaproteobacteria,MEdeeppink2,genus,trans,0.514285714285714,0.514285714285714,pos,0.0203461282869807
(c)Alphaproteobacteria,MEfirebrick2,genus,trans,0.451127819548872,0.451127819548872,pos,0.0458832588000064
(c)Alphaproteobacteria,MEgreen4,genus,trans,0.461654135338346,-0.461654135338346,neg,0.040457634341481
(c)Alphaproteobacteria,MEgrey60,genus,trans,0.452631578947368,-0.452631578947368,neg,0.0450756887830484
(c)Alphaproteobacteria,MEindianred3,genus,trans,0.544360902255639,0.544360902255639,pos,0.0130826086615195
(c)Alphaproteobacteria,MElavenderblush3,genus,trans,0.451127819548872,-0.451127819548872,neg,0.0458832588000064
(c)Alphaproteobacteria,MEmediumorchid2,genus,trans,0.461654135338346,0.461654135338346,pos,0.040457634341481
(c)Alphaproteobacteria,MEpaleturquoise,genus,trans,0.536842105263158,-0.536842105263158,neg,0.0146632944255229
(c)Alphaproteobacteria,MEpaleturquoise1,genus,trans,0.476691729323308,-0.476691729323308,neg,0.0335840795109333
(c)Alphaproteobacteria,MEred4,genus,trans,0.538345864661654,0.538345864661654,pos,0.0143354623967936
(c)Alphaproteobacteria,MEroyalblue1,genus,trans,0.673684210526316,0.673684210526316,pos,0.00112809673723705
(c)Alphaproteobacteria,MEsienna3,genus,trans,0.509774436090226,-0.509774436090226,neg,0.0216689666215354
(c)Alphaproteobacteria,MEsteelblue3,genus,trans,0.44812030075188,-0.44812030075188,neg,0.0475317357506642
(c)Betaproteobacteria,MEburlywood,genus,trans,0.488721804511278,-0.488721804511278,neg,0.0287720300549961
(c)Betaproteobacteria,MEcoral1,genus,trans,0.454135338345865,-0.454135338345865,neg,0.0442791041628947
(c)Betaproteobacteria,MElightpink1,genus,trans,0.473684210526316,0.473684210526316,pos,0.0348799913794966
(c)Betaproteobacteria,MEsienna1,genus,trans,0.455639097744361,0.455639097744361,pos,0.043493409805466
(c)Gammaproteobacteria,MEantiquewhite4,genus,trans,0.535338345864662,-0.535338345864662,neg,0.0149971296436326
(c)Gammaproteobacteria,MEsienna1,genus,trans,0.581954887218045,0.581954887218045,pos,0.00710443754510044
(c)Gemm-3,MEblue4,genus,trans,0.562406015037594,0.562406015037594,pos,0.00984430003305579
(c)Gemm-3,MEcoral4,genus,trans,0.524812030075188,0.524812030075188,pos,0.0175087416588738
