Source,Target,source.type,target.type,abs.r,r,p.n,p
(c)Betaproteobacteria,Segmented,genus,CT,0.537324205679143,0.537324205679143,pos,0.000243317554346541
(f)Acetobacteraceae,MEdeeppink1,genus,trans,0.42111660319261,-0.42111660319261,neg,0.00548230305953657
(f)Acetobacteraceae,MEperu,genus,trans,0.470059152418767,-0.470059152418767,neg,0.00168358327695268
(f)Aerococcaceae,MEseashell4,genus,trans,0.401183048375334,-0.401183048375334,neg,0.00846010825563653
(f)Bacillaceae,MEfirebrick2,genus,trans,0.409610242281825,-0.409610242281825,neg,0.0070644045089416
(f)Bacillaceae,MEmediumpurple,genus,trans,0.540717932096265,0.540717932096265,pos,0.00021827530014702
(f)Bacillaceae,MEnavajowhite2,genus,trans,0.409772303703103,0.409772303703103,pos,0.00703964187358977
(f)Bacillaceae,MEperu,genus,trans,0.43084028846933,0.43084028846933,pos,0.00439481847156586
(f)Caulobacteraceae,MEdarkgoldenrod1,genus,trans,0.401183048375334,0.401183048375334,pos,0.00846010825563653
(f)Caulobacteraceae,MEdarkgoldenrod4,genus,trans,0.425168138724577,0.425168138724577,pos,0.0050036810676697
(f)Caulobacteraceae,MEdarkolivegreen1,genus,trans,0.415120330605299,0.415120330605299,pos,0.00626344604373155
(f)Caulobacteraceae,MEdeeppink2,genus,trans,0.477027793533749,0.477027793533749,pos,0.00140265676054447
(f)Caulobacteraceae,MEfirebrick2,genus,trans,0.481079329065716,0.481079329065716,pos,0.00125918032304235
(f)Caulobacteraceae,MEindianred3,genus,trans,0.52548415849607,0.52548415849607,pos,0.000352273789971549
(f)Caulobacteraceae,MElightgreen,genus,trans,0.410258487966939,-0.410258487966939,neg,0.00696580313673009
(f)Caulobacteraceae,MElightpink3,genus,trans,0.45271858034195,0.45271858034195,pos,0.00260911401367095
(f)Caulobacteraceae,MEpowderblue,genus,trans,0.410258487966939,0.410258487966939,pos,0.00696580313673009
(f)Caulobacteraceae,MErosybrown2,genus,trans,0.470221213840045,0.470221213840045,pos,0.00167652317798532
(f)Caulobacteraceae,MErosybrown3,genus,trans,0.478324284903979,0.478324284903979,pos,0.0013552429902828
(f)Enterobacteriaceae,MEaquamarine1,genus,trans,0.400858925532777,-0.400858925532777,neg,0.00851821610958764
(f)Enterobacteriaceae,MEbrown1,genus,trans,0.40166923263917,0.40166923263917,pos,0.0083735857082127
(f)Enterobacteriaceae,MEcornflowerblue,genus,trans,0.425654322988413,0.425654322988413,pos,0.00494876402334396
(f)Enterobacteriaceae,MEdarkolivegreen4,genus,trans,0.402803662588121,0.402803662588121,pos,0.00817465449567013
(f)Enterobacteriaceae,MEdarkseagreen1,genus,trans,0.404262215379629,-0.404262215379629,neg,0.00792487253989892
(f)Enterobacteriaceae,MElavender,genus,trans,0.422413094562839,0.422413094562839,pos,0.00532499602338417
(f)Enterobacteriaceae,MEmagenta,genus,trans,0.41139291791589,-0.41139291791589,neg,0.00679610918823435
(f)Enterobacteriaceae,MEmediumblue,genus,trans,0.489182400129649,-0.489182400129649,neg,0.00101071223711358
(f)Enterobacteriaceae,MEmintcream,genus,trans,0.514788104691678,-0.514788104691678,neg,0.00048649474288573
(f)Enterobacteriaceae,MEnavajowhite4,genus,trans,0.408151689490317,0.408151689490317,pos,0.0072906733529579
(f)Enterobacteriaceae,MEpalegreen4,genus,trans,0.550117494530427,0.550117494530427,pos,0.000160584871904236
(f)Enterobacteriaceae,MEpurple2,genus,trans,0.401020986954056,0.401020986954056,pos,0.00848911943138595
(f)Enterobacteriaceae,MEtan4,genus,trans,0.471679766631553,-0.471679766631553,neg,0.00161415132882967
(f)Enterobacteriaceae,MEthistle4,genus,trans,0.409772303703103,-0.409772303703103,neg,0.00703964187358977
(f)Enterobacteriaceae,MEwhitesmoke,genus,trans,0.428085244307593,-0.428085244307593,neg,0.0046819693952177
(f)Enterococcaceae,MEnavajowhite1,genus,trans,0.425654322988413,0.425654322988413,pos,0.00494876402334396
(f)Flammeovirgaceae,InnerMiddleOuterBelt,genus,CT,0.410902663085372,-0.410902663085372,neg,0.00686900062497344
(f)Micrococcaceae,MElemonchiffon3,genus,trans,0.400048618426384,-0.400048618426384,neg,0.00866498918913198
(f)Moraxellaceae,MEpowderblue,genus,trans,0.470059152418767,0.470059152418767,pos,0.00168358327695268
(f)Neisseriaceae,MElemonchiffon4,genus,trans,0.485779110282797,-0.485779110282797,neg,0.00110918833756419
(f)Neisseriaceae,MEmistyrose1,genus,trans,0.41139291791589,0.41139291791589,pos,0.00679610918823435
(f)Neisseriaceae,MEroyalblue1,genus,trans,0.410096426545661,0.410096426545661,pos,0.00699034137294186
(f)Oxalobacteraceae,MEantiquewhite,genus,trans,0.486265294546633,-0.486265294546633,neg,0.00109461756624832
(f)Oxalobacteraceae,MEaquamarine1,genus,trans,0.411554979337169,-0.411554979337169,neg,0.00677216123532566
(f)Oxalobacteraceae,MEblueviolet,genus,trans,0.500850822461713,-0.500850822461713,neg,0.000729437481988317
(f)Oxalobacteraceae,MEbrown2,genus,trans,0.413985900656349,0.413985900656349,pos,0.00642159597678017
(f)Oxalobacteraceae,MEfirebrick3,genus,trans,0.452232396078114,0.452232396078114,pos,0.0026405041918711
(f)Oxalobacteraceae,MEgoldenrod3,genus,trans,0.478486346325257,0.478486346325257,pos,0.00134941736372855
(f)Oxalobacteraceae,MEgoldenrod4,genus,trans,0.424033708775626,-0.424033708775626,neg,0.0051338856916694
(f)Oxalobacteraceae,MEhotpink4,genus,trans,0.488534154444535,-0.488534154444535,neg,0.00102884644942253
(f)Oxalobacteraceae,MEivory,genus,trans,0.46843853820598,0.46843853820598,pos,0.00175564367851246
(f)Oxalobacteraceae,MEkhaki4,genus,trans,0.459687221456932,-0.459687221456932,neg,0.00219389466510425
(f)Oxalobacteraceae,MElavender,genus,trans,0.45142208897172,0.45142208897172,pos,0.00269355911972954
(f)Oxalobacteraceae,MElimegreen,genus,trans,0.440401912324771,-0.440401912324771,neg,0.00351383983435626
(f)Oxalobacteraceae,MEmagenta,genus,trans,0.405720768171137,-0.405720768171137,neg,0.00768169173313074
(f)Oxalobacteraceae,MEmagenta2,genus,trans,0.464387002674013,-0.464387002674013,neg,0.00194785419843063
(f)Oxalobacteraceae,MEmistyrose1,genus,trans,0.424519893039462,-0.424519893039462,neg,0.0050777275481431
(f)Oxalobacteraceae,MEorange3,genus,trans,0.498257839721254,-0.498257839721254,neg,0.000785051834407935
(f)Oxalobacteraceae,MEorangered1,genus,trans,0.479296653431651,-0.479296653431651,neg,0.00132062109164989
(f)Oxalobacteraceae,MEpalegreen3,genus,trans,0.427599060043757,0.427599060043757,pos,0.00473430333209467
(f)Oxalobacteraceae,MEpalevioletred3,genus,trans,0.413499716392513,0.413499716392513,pos,0.00649042496813956
(f)Oxalobacteraceae,MEpeachpuff3,genus,trans,0.457580422980309,-0.457580422980309,neg,0.00231280586874191
(f)Oxalobacteraceae,MEplum1,genus,trans,0.44899116765254,-0.44899116765254,neg,0.0028583855177787
(f)Oxalobacteraceae,MEplum3,genus,trans,0.410744672230775,0.410744672230775,pos,0.0068926342659495
(f)Oxalobacteraceae,MEskyblue3,genus,trans,0.473138319423061,0.473138319423061,pos,0.00155384174841537
(f)Pseudomonadaceae,InnerMiddleOuterBelt,genus,CT,0.471116590078115,-0.471116590078115,neg,0.00163798668734104
(f)Rhodospirillaceae,MEaquamarine,genus,trans,0.428247305728871,-0.428247305728871,neg,0.00466463702208247
(f)Rhodospirillaceae,MEcoral4,genus,trans,0.407665505226481,0.407665505226481,pos,0.00736747299696847
(f)Rhodospirillaceae,MEdeeppink,genus,trans,0.443643140750344,-0.443643140750344,neg,0.00325249095242356
(f)Rhodospirillaceae,MEmagenta4,genus,trans,0.431812656997002,-0.431812656997002,neg,0.00429720151636562
(f)Rhodospirillaceae,MEroyalblue1,genus,trans,0.466331739729357,0.466331739729357,pos,0.001853391011145
(f)Rhodospirillaceae,MEslateblue1,genus,trans,0.407665505226481,0.407665505226481,pos,0.00736747299696847
(g)Achromobacter,MEbisque2,genus,trans,0.406693136698809,-0.406693136698809,neg,0.00752316800141341
(g)Achromobacter,MElightsteelblue1,genus,trans,0.414472084920185,0.414472084920185,pos,0.00635339937548134
(g)Arcobacter,MEwhite,genus,trans,0.451746211814278,-0.451746211814278,neg,0.00267222579841171
(g)Asticcacaulis,MEfirebrick2,genus,trans,0.40653107527753,0.40653107527753,pos,0.00754939106305509
(g)Asticcacaulis,MElightskyblue,genus,trans,0.467790292520865,0.467790292520865,pos,0.0017852226685177
(g)Asticcacaulis,MEpaleturquoise,genus,trans,0.400372741268941,-0.400372741268941,neg,0.00860602120056913
(g)Asticcacaulis,MEred4,genus,trans,0.411230856494611,0.411230856494611,pos,0.00682013028491676
(g)Atopostipes,InnerMiddleOuterBelt,genus,CT,0.417259558603668,-0.417259558603668,neg,0.00597437376794176
(g)Bacillus,MEbisque3,genus,trans,0.426788752937363,0.426788752937363,pos,0.00482265833865443
(g)Bacillus,MEbrown2,genus,trans,0.493395997082894,-0.493395997082894,neg,0.000899615580518986
(g)Bacillus,MEdarkgrey,genus,trans,0.40410015395835,0.40410015395835,pos,0.00795229747893966
(g)Bacillus,MEdarkseagreen2,genus,trans,0.424519893039462,0.424519893039462,pos,0.0050777275481431
(g)Bacillus,MEdeepskyblue4,genus,trans,0.419982173243659,0.419982173243659,pos,0.00562323954042586
(g)Bacillus,MEfirebrick,genus,trans,0.401507171217892,-0.401507171217892,neg,0.00840234159720034
(g)Bacillus,MEgoldenrod2,genus,trans,0.435378008265133,0.435378008265133,pos,0.00395525993602859
(g)Bacillus,MEhotpink2,genus,trans,0.479782837695487,-0.479782837695487,neg,0.00130360621247082
(g)Bacillus,MEivory,genus,trans,0.411068795073333,-0.411068795073333,neg,0.00684422470804362
(g)Bacillus,MEkhaki1,genus,trans,0.455311563082408,-0.455311563082408,neg,0.00244717707454177
(g)Bacillus,MElightpink4,genus,trans,0.410906733652054,-0.410906733652054,neg,0.00686839264061281
(g)Bacillus,MElightseagreen,genus,trans,0.461631958512276,0.461631958512276,pos,0.00208894691528885
(g)Bacillus,MEmagenta2,genus,trans,0.438943359533263,0.438943359533263,pos,0.00363732023888367
(g)Bacillus,MEorange1,genus,trans,0.433757394052346,-0.433757394052346,neg,0.00410762438426152
(g)Bacillus,MEorangered2,genus,trans,0.46357669556762,-0.46357669556762,neg,0.00198845170254373
(g)Bacillus,MEpalevioletred3,genus,trans,0.401993355481728,-0.401993355481728,neg,0.00831632779748291
(g)Bacillus,MEroyalblue3,genus,trans,0.443319017907787,0.443319017907787,pos,0.00327783616323302
(g)Bacillus,MEsalmon2,genus,trans,0.446722307754639,-0.446722307754639,neg,0.00302014481190648
(g)Bacillus,MEslateblue2,genus,trans,0.43813305242687,-0.43813305242687,neg,0.00370754664850506
(g)Bacillus,MEtan4,genus,trans,0.429705858520379,0.429705858520379,pos,0.0045111426344197
(g)Caulobacter,MEaliceblue,genus,trans,0.450611781865327,-0.450611781865327,neg,0.00274754838691019
(g)Caulobacter,MEdarkolivegreen1,genus,trans,0.402479539745564,-0.402479539745564,neg,0.00823107256999511
(g)Caulobacter,MEdeeppink2,genus,trans,0.406206952434973,-0.406206952434973,neg,0.00760207367999312
(g)Caulobacter,MEdodgerblue,genus,trans,0.505388542257516,0.505388542257516,pos,0.000640523975391521
(g)Caulobacter,MEindianred3,genus,trans,0.425492261567134,-0.425492261567134,neg,0.00496701117619599
(g)Caulobacter,MElightskyblue,genus,trans,0.405882829592416,-0.405882829592416,neg,0.00765507290729028
(g)Clostridium,MEblueviolet,genus,trans,0.417875374767037,0.417875374767037,pos,0.00589333234288046
(g)Clostridium,MEchocolate3,genus,trans,0.447532614861032,0.447532614861032,pos,0.0029614750354465
(g)Clostridium,MEdarkseagreen1,genus,trans,0.405234583907301,0.405234583907301,pos,0.00776202738730169
(g)Clostridium,MEgoldenrod4,genus,trans,0.463252572725063,0.463252572725063,pos,0.00200489862290467
(g)Clostridium,MEgreen4,genus,trans,0.408313750911595,0.408313750911595,pos,0.00726522744322083
(g)Clostridium,MEgreenyellow,genus,trans,0.456445993031359,-0.456445993031359,neg,0.00237915657152265
(g)Clostridium,MElightcoral,genus,trans,0.454663317397294,0.454663317397294,pos,0.00248680926173685
(g)Clostridium,MElightpink2,genus,trans,0.406693136698809,0.406693136698809,pos,0.00752316800141341
(g)Clostridium,MElightyellow,genus,trans,0.564703022445507,0.564703022445507,pos,9.79112494372916e-05
(g)Clostridium,MEmagenta1,genus,trans,0.427274937201199,0.427274937201199,pos,0.00476947481123464
(g)Clostridium,MEmediumorchid4,genus,trans,0.434567701158739,0.434567701158739,pos,0.00403081381041952
(g)Clostridium,MEpaleturquoise3,genus,trans,0.462118142776112,0.462118142776112,pos,0.00206341208545347
(g)Clostridium,MEpalevioletred,genus,trans,0.405882829592416,0.405882829592416,pos,0.00765507290729028
(g)Clostridium,MEroyalblue1,genus,trans,0.436026253950247,0.436026253950247,pos,0.00389571009122245
(g)Clostridium,MEslateblue3,genus,trans,0.414958269184021,0.414958269184021,pos,0.00628583039007139
(g)Clostridium,MEslateblue4,genus,trans,0.488858277287092,0.488858277287092,pos,0.00101974347439854
(g)Clostridium,MEsnow,genus,trans,0.512843367636334,0.512843367636334,pos,0.000515319346240595
(g)Enhydrobacter,MEviolet,genus,trans,0.407827566647759,0.407827566647759,pos,0.00734179594041382
(g)Geobacillus,MEtomato4,genus,trans,0.417227129081922,0.417227129081922,pos,0.00597866812600643
(g)Isobaculum,Ctvalue,genus,CT,0.554703832752613,-0.554703832752613,neg,0.000167506055133964
(g)Isobaculum,LesionType,genus,CT,0.551339373201813,-0.551339373201813,neg,0.000154199963206186
(g)Isobaculum,MEcoral4,genus,trans,0.474110687950733,0.474110687950733,pos,0.00151475205631301
(g)Isobaculum,MElightblue1,genus,trans,0.472652135159225,-0.472652135159225,neg,0.00157371944810751
(g)Isobaculum,MElightblue4,genus,trans,0.452880641763228,-0.452880641763228,neg,0.00259872376445029
(g)Isobaculum,MEmagenta1,genus,trans,0.422899278826675,0.422899278826675,pos,0.00526702469670613
(g)Isobaculum,MEmistyrose4,genus,trans,0.493558058504173,-0.493558058504173,neg,0.000895568963815734
(g)Isobaculum,MEslateblue1,genus,trans,0.457742484401588,0.457742484401588,pos,0.0023034614662025
(g)Kocuria,MEantiquewhite,genus,trans,0.440888096588607,-0.440888096588607,neg,0.00347350280414235
(g)Kocuria,MEdarkolivegreen4,genus,trans,0.413013532128677,0.413013532128677,pos,0.00655989114991815
(g)Kocuria,MEdodgerblue,genus,trans,0.415930637711693,0.415930637711693,pos,0.00615255630082724
(g)Kocuria,MEfirebrick,genus,trans,0.463900818410177,0.463900818410177,pos,0.00197212396064529
(g)Kocuria,MElightslateblue,genus,trans,0.404910461064744,-0.404910461064744,neg,0.0078159857505384
(g)Kocuria,MElightsteelblue,genus,trans,0.401183048375334,0.401183048375334,pos,0.00846010825563653
(g)Kocuria,MElimegreen,genus,trans,0.478486346325257,-0.478486346325257,neg,0.00134941736372855
(g)Kocuria,MEmagenta,genus,trans,0.414958269184021,-0.414958269184021,neg,0.00628583039007139
(g)Kocuria,MEmintcream,genus,trans,0.485779110282797,-0.485779110282797,neg,0.00110918833756419
(g)Kocuria,MEorange3,genus,trans,0.405882829592416,-0.405882829592416,neg,0.00765507290729028
(g)Kocuria,MEpalegreen4,genus,trans,0.458876914350539,0.458876914350539,pos,0.00223897643200268
(g)Kocuria,MEplum3,genus,trans,0.432947086945953,0.432947086945953,pos,0.00418570904423058
(g)Kocuria,MEpurple2,genus,trans,0.45871485292926,0.45871485292926,pos,0.00224809008786575
(g)Kocuria,MEskyblue3,genus,trans,0.437160683899198,0.437160683899198,pos,0.00379338046463114
(g)Kocuria,MEslateblue2,genus,trans,0.468114415363423,0.468114415363423,pos,0.00177037857406666
(g)Kocuria,MEtan4,genus,trans,0.433109148367231,-0.433109148367231,neg,0.0041699893447124
(g)Kocuria,MEthistle4,genus,trans,0.438457175269427,-0.438457175269427,neg,0.00367931512967031
(g)Lactobacillus,MEdarkgoldenrod4,genus,trans,0.439105420954542,-0.439105420954542,neg,0.00362341538714193
(g)Lactobacillus,MEdarkolivegreen,genus,trans,0.414958269184021,0.414958269184021,pos,0.00628583039007139
(g)Lactobacillus,MEfirebrick4,genus,trans,0.422088971720282,0.422088971720282,pos,0.00536395069168262
(g)Lactobacillus,MEnavajowhite2,genus,trans,0.452556518920671,0.452556518920671,pos,0.00261954076239567
