Id,Type,phylum
(c)Betaproteobacteria,genus,Proteobacteria
(f)Acetobacteraceae,genus,Proteobacteria
(f)Aerococcaceae,genus,Firmicutes
(f)Bacillaceae,genus,Firmicutes
(f)Caulobacteraceae,genus,Proteobacteria
(f)Enterobacteriaceae,genus,Proteobacteria
(f)Enterococcaceae,genus,Firmicutes
(f)Flammeovirgaceae,genus,Bacteroidetes
(f)Micrococcaceae,genus,Actinobacteria
(f)Moraxellaceae,genus,Proteobacteria
(f)Neisseriaceae,genus,Proteobacteria
(f)Oxalobacteraceae,genus,Proteobacteria
(f)Pseudomonadaceae,genus,Proteobacteria
(f)Rhodospirillaceae,genus,Proteobacteria
(g)Achromobacter,genus,Proteobacteria
(g)Arcobacter,genus,Proteobacteria
(g)Asticcacaulis,genus,Proteobacteria
(g)Atopostipes,genus,Firmicutes
(g)Bacillus,genus,Firmicutes
(g)Caulobacter,genus,Proteobacteria
(g)Clostridium,genus,Firmicutes
(g)Enhydrobacter,genus,Proteobacteria
(g)Geobacillus,genus,Firmicutes
(g)Isobaculum,genus,Firmicutes
(g)Kocuria,genus,Actinobacteria
(g)Lactobacillus,genus,Firmicutes
(g)Lactococcus,genus,Firmicutes
(g)Meiothermus,genus,[Thermi]
(g)Methylobacterium,genus,Proteobacteria
(g)Micrococcus,genus,Actinobacteria
(g)Myroides,genus,Bacteroidetes
(g)Naxibacter,genus,Proteobacteria
(g)Nocardiopsis,genus,Actinobacteria
(g)Paracoccus,genus,Proteobacteria
(g)Pediococcus,genus,Firmicutes
(g)Prevotella,genus,Bacteroidetes
(g)Pseudomonas,genus,Proteobacteria
(g)Pseudoxanthomonas,genus,Proteobacteria
(g)Rheinheimera,genus,Proteobacteria
(g)Rhizobium,genus,Proteobacteria
(g)Salinarimonas,genus,Proteobacteria
(g)Serpens,genus,Proteobacteria
(g)Serratia,genus,Proteobacteria
(g)Sphingobacterium,genus,Bacteroidetes
(g)Sphingobium,genus,Proteobacteria
(g)Sphingomonas,genus,Proteobacteria
(g)Staphylococcus,genus,Firmicutes
(g)Stenotrophomonas,genus,Proteobacteria
(g)Tetrasphaera,genus,Actinobacteria
(g)Truepera,genus,[Thermi]
(g)Weissella,genus,Firmicutes
(k)Bacteria,genus,
(o)[Pedosphaerales],genus,Verrucomicrobia
(o)Actinomycetales,genus,Actinobacteria
(o)Bacillales,genus,Firmicutes
(o)Rhodospirillales,genus,Proteobacteria
Ctvalue,CT,NA
InnerMiddleOuterBelt,CT,NA
LesionType,CT,NA
MaxDiameter,CT,NA
MEaliceblue,trans,NA
MEkhaki2,trans,NA
MElightgoldenrod4,trans,NA
MEmagenta1,trans,NA
MEsalmon1,trans,NA
Segmented,CT,NA
MEdeeppink1,trans,NA
MEperu,trans,NA
MEseashell4,trans,NA
MEfirebrick2,trans,NA
MEmediumpurple,trans,NA
MEnavajowhite2,trans,NA
MEdarkgoldenrod1,trans,NA
MEdarkgoldenrod4,trans,NA
MEdarkolivegreen1,trans,NA
MEdeeppink2,trans,NA
MEindianred3,trans,NA
MElightgreen,trans,NA
MElightpink3,trans,NA
MEpowderblue,trans,NA
MErosybrown2,trans,NA
MErosybrown3,trans,NA
MEaquamarine1,trans,NA
MEbrown1,trans,NA
MEcornflowerblue,trans,NA
MEdarkolivegreen4,trans,NA
MEdarkseagreen1,trans,NA
MElavender,trans,NA
MEmagenta,trans,NA
MEmediumblue,trans,NA
MEmintcream,trans,NA
MEnavajowhite4,trans,NA
MEpalegreen4,trans,NA
