Source,Target,source.type,target.type,abs.r,r,p.n,p
(c)Betaproteobacteria,MEbrown4,genus,trans,0.52436974789916,-0.52436974789916,neg,0.00122293198479022
(c)Gammaproteobacteria,MEbrown1,genus,trans,0.426610644257703,-0.426610644257703,neg,0.0105990134593837
(c)Gammaproteobacteria,MEcyan,genus,trans,0.416806722689076,0.416806722689076,pos,0.0127443274399654
(c)Gammaproteobacteria,MEdarkorchid3,genus,trans,0.407843137254902,-0.407843137254902,neg,0.0150156128650487
(c)Gammaproteobacteria,MEdarkseagreen3,genus,trans,0.413445378151261,-0.413445378151261,neg,0.0135594985795007
(c)Gammaproteobacteria,MEdeeppink1,genus,trans,0.443417366946779,-0.443417366946779,neg,0.00763165016962082
(c)Gammaproteobacteria,MEplum3,genus,trans,0.444537815126051,-0.444537815126051,neg,0.00746205160613883
(c)ML635J-21,MEbrown1,genus,trans,0.403361344537815,-0.403361344537815,neg,0.0162730508591538
(f)[Exiguobacteraceae],MEcornflowerblue,genus,trans,0.402521008403361,-0.402521008403361,neg,0.016518374659157
(f)[Weeksellaceae],InnerMiddleOuterBelt,genus,CT,0.404825842401371,-0.404825842401371,neg,0.0158528067758146
(f)[Weeksellaceae],MEmediumorchid1,genus,trans,0.400560224089636,0.400560224089636,pos,0.0171028614913961
(f)[Weeksellaceae],MEslateblue3,genus,trans,0.436694677871149,0.436694677871149,pos,0.00871997718846391
(f)[Weeksellaceae],MEsteelblue,genus,trans,0.42296918767507,0.42296918767507,pos,0.01135703221915
(f)[Weeksellaceae],Segmented,genus,CT,0.497128859634992,0.497128859634992,pos,0.00238044175281326
(f)Acetobacteraceae,MEcornsilk2,genus,trans,0.411204481792717,0.411204481792717,pos,0.0141269913109194
(f)Acetobacteraceae,MEdarkblue,genus,trans,0.428291316526611,0.428291316526611,pos,0.0102638966538565
(f)Acetobacteraceae,MEmistyrose3,genus,trans,0.412324929971989,-0.412324929971989,neg,0.0138407969603217
(f)Aerococcaceae,MEmidnightblue,genus,trans,0.42156862745098,-0.42156862745098,neg,0.0116605484258819
(f)Aerococcaceae,MEsteelblue3,genus,trans,0.480672268907563,-0.480672268907563,neg,0.00346966174745067
(f)Bacillaceae,MEbrown1,genus,trans,0.473389355742297,-0.473389355742297,neg,0.00407558932643335
(f)Bacillaceae,MEdarkseagreen3,genus,trans,0.434733893557423,-0.434733893557423,neg,0.00906128197281
(f)Bacillaceae,MEplum3,genus,trans,0.480672268907563,-0.480672268907563,neg,0.00346966174745067
(f)Beijerinckiaceae,MEaliceblue,genus,trans,0.406162464985994,0.406162464985994,pos,0.0154772357762539
(f)Bradyrhizobiaceae,MEdarkblue,genus,trans,0.408403361344538,-0.408403361344538,neg,0.0148643314970077
(f)Caulobacteraceae,MEcyan4,genus,trans,0.449859943977591,-0.449859943977591,neg,0.00669975767173915
(f)Caulobacteraceae,MEdodgerblue4,genus,trans,0.405042016806723,-0.405042016806723,neg,0.015791552173005
(f)Caulobacteraceae,MEindianred2,genus,trans,0.435014005602241,0.435014005602241,pos,0.00901183892498468
(f)Caulobacteraceae,MElightblue4,genus,trans,0.427731092436975,0.427731092436975,pos,0.010374588851246
