Id,Type,phylum
(c)Betaproteobacteria,genus,Proteobacteria
(c)Gammaproteobacteria,genus,Proteobacteria
(c)ML635J-21,genus,Cyanobacteria
(f)[Exiguobacteraceae],genus,Firmicutes
(f)[Weeksellaceae],genus,Bacteroidetes
(f)Acetobacteraceae,genus,Proteobacteria
(f)Aerococcaceae,genus,Firmicutes
(f)Bacillaceae,genus,Firmicutes
(f)Beijerinckiaceae,genus,Proteobacteria
(f)Bradyrhizobiaceae,genus,Proteobacteria
(f)Caulobacteraceae,genus,Proteobacteria
(f)Chitinophagaceae,genus,Bacteroidetes
(f)Comamonadaceae,genus,Proteobacteria
(f)Cyclobacteriaceae,genus,Bacteroidetes
(f)Enterobacteriaceae,genus,Proteobacteria
(f)Enterococcaceae,genus,Firmicutes
(f)Erythrobacteraceae,genus,Proteobacteria
(f)Flammeovirgaceae,genus,Bacteroidetes
(f)Fusobacteriaceae,genus,Fusobacteria
(f)Gemmataceae,genus,Planctomycetes
(f)Intrasporangiaceae,genus,Actinobacteria
(f)Lactobacillaceae,genus,Firmicutes
(f)Methylobacteriaceae,genus,Proteobacteria
(f)Micrococcaceae,genus,Actinobacteria
(f)Neisseriaceae,genus,Proteobacteria
(f)Paenibacillaceae,genus,Firmicutes
(f)Pirellulaceae,genus,Planctomycetes
(f)Planococcaceae,genus,Firmicutes
(f)Rhodobacteraceae,genus,Proteobacteria
(f)Rhodocyclaceae,genus,Proteobacteria
(f)Saprospiraceae,genus,Bacteroidetes
(f)Sphingomonadaceae,genus,Proteobacteria
(g)Aerococcus,genus,Firmicutes
(g)Aeromonas,genus,Proteobacteria
(g)Albidovulum,genus,Proteobacteria
(g)Arcobacter,genus,Proteobacteria
(g)Asticcacaulis,genus,Proteobacteria
(g)Bacteroides,genus,Bacteroidetes
(g)Bdellovibrio,genus,Proteobacteria
(g)Bergeyella,genus,Bacteroidetes
(g)Blastococcus,genus,Actinobacteria
(g)Bordetella,genus,Proteobacteria
(g)Brevibacillus,genus,Firmicutes
(g)Brevundimonas,genus,Proteobacteria
(g)Campylobacter,genus,Proteobacteria
(g)Caulobacter,genus,Proteobacteria
(g)Clostridium,genus,Firmicutes
(g)Corynebacterium,genus,Actinobacteria
(g)Dechloromonas,genus,Proteobacteria
(g)Deinococcus,genus,[Thermi]
(g)Dysgonomonas,genus,Bacteroidetes
(g)Elizabethkingia,genus,Bacteroidetes
(g)Enhydrobacter,genus,Proteobacteria
(g)Erysipelothrix,genus,Firmicutes
(g)Flavobacterium,genus,Bacteroidetes
(g)Geobacillus,genus,Firmicutes
(g)Granulicatella,genus,Firmicutes
(g)Halomonas,genus,Proteobacteria
(g)Hydrogenophilus,genus,Proteobacteria
(g)Hymenobacter,genus,Bacteroidetes
(g)Hyphomicrobium,genus,Proteobacteria
(g)Isobaculum,genus,Firmicutes
(g)Lactobacillus,genus,Firmicutes
(g)Lactococcus,genus,Firmicutes
(g)Legionella,genus,Proteobacteria
(g)Lysobacter,genus,Proteobacteria
(g)Massilia,genus,Proteobacteria
(g)Methylobacterium,genus,Proteobacteria
(g)Micrococcus,genus,Actinobacteria
(g)Microlunatus,genus,Actinobacteria
(g)Mucilaginibacter,genus,Bacteroidetes
(g)Myroides,genus,Bacteroidetes
(g)Nitrobacteria,genus,Proteobacteria
(g)Nocardiopsis,genus,Actinobacteria
(g)Nostocoida,genus,Planctomycetes
(g)Oceanobacillus,genus,Firmicutes
(g)Peptoniphilus,genus,Firmicutes
(g)Planctomyces,genus,Planctomycetes
(g)Pontibacter,genus,Bacteroidetes
(g)Propionibacterium,genus,Actinobacteria
(g)Proteus,genus,Proteobacteria
(g)Psychrobacter,genus,Proteobacteria
(g)Rheinheimera,genus,Proteobacteria
(g)Rhizobium,genus,Proteobacteria
(g)Roseomonas,genus,Proteobacteria
(g)Rothia,genus,Actinobacteria
(g)Salinarimonas,genus,Proteobacteria
(g)Serpens,genus,Proteobacteria
(g)Sphingobacterium,genus,Bacteroidetes
(g)Sphingobium,genus,Proteobacteria
(g)Sphingomonas,genus,Proteobacteria
(g)Staphylococcus,genus,Firmicutes
(g)Stenotrophomonas,genus,Proteobacteria
(g)Synechococcus,genus,Cyanobacteria
(g)Truepera,genus,[Thermi]
(g)Wautersiella,genus,Bacteroidetes
(o)[Pedosphaerales],genus,Verrucomicrobia
(o)Actinomycetales,genus,Actinobacteria
(o)Bacillales,genus,Firmicutes
(o)Burkholderiales,genus,Proteobacteria
(o)Cytophagales,genus,Bacteroidetes
(o)Flavobacteriales,genus,Bacteroidetes
(o)JG30-KF-CM45,genus,Chloroflexi
(o)Lactobacillales,genus,Firmicutes
(o)RB41,genus,Acidobacteria
(o)Rhizobiales,genus,Proteobacteria
(o)Solirubrobacterales,genus,Actinobacteria
(o)Sphingomonadales,genus,Proteobacteria
(p)Cyanobacteria,genus,Cyanobacteria
(p)WPS-2,genus,WPS-2
Ctvalue,CT,NA
InnerMiddleOuterBelt,CT,NA
LesionType,CT,NA
MaxDiameter,CT,NA
MEantiquewhite,trans,NA
MEantiquewhite3,trans,NA
MEantiquewhite4,trans,NA
MEaquamarine,trans,NA
MEbisque4,trans,NA
MEblue2,trans,NA
MEblue4,trans,NA
MEcoral1,trans,NA
MEcoral4,trans,NA
MEcornsilk,trans,NA
MEcornsilk2,trans,NA
MEdarkgoldenrod4,trans,NA
MEdarkmagenta,trans,NA
MEdarkolivegreen,trans,NA
MEdarkolivegreen4,trans,NA
MEdarkorange2,trans,NA
MEdarkorchid3,trans,NA
MEdarkslateblue,trans,NA
MEdarkviolet,trans,NA
MEdeeppink1,trans,NA
MEdeeppink2,trans,NA
MEdodgerblue,trans,NA
MEdodgerblue4,trans,NA
MEfirebrick,trans,NA
MEfirebrick3,trans,NA
MEfirebrick4,trans,NA
MEgoldenrod2,trans,NA
MEgoldenrod4,trans,NA
MEgreen3,trans,NA
MEgreen4,trans,NA
MEgrey,trans,NA
MEgrey60,trans,NA
MEhoneydew,trans,NA
MEindianred,trans,NA
MEindianred3,trans,NA
MEindianred4,trans,NA
MEivory,trans,NA
MEkhaki2,trans,NA
MElavenderblush3,trans,NA
MElemonchiffon4,trans,NA
MElightblue,trans,NA
MElightblue2,trans,NA
MElightgoldenrod3,trans,NA
MElightpink,trans,NA
MElightpink2,trans,NA
MElightpink3,trans,NA
MElightpink4,trans,NA
MElightskyblue1,trans,NA
MElightskyblue3,trans,NA
MElightsteelblue1,trans,NA
MElimegreen,trans,NA
MElinen,trans,NA
MEmagenta,trans,NA
MEmediumblue,trans,NA
MEmediumorchid2,trans,NA
MEmediumorchid4,trans,NA
MEmediumpurple,trans,NA
MEmediumpurple2,trans,NA
MEmidnightblue,trans,NA
MEmintcream,trans,NA
MEmistyrose,trans,NA
MEmistyrose1,trans,NA
MEmistyrose4,trans,NA
MEnavajowhite1,trans,NA
MEnavajowhite2,trans,NA
MEolivedrab3,trans,NA
MEolivedrab4,trans,NA
MEpaleturquoise,trans,NA
MEpaleturquoise1,trans,NA
MEpalevioletred,trans,NA
MEperu,trans,NA
MEpurple,trans,NA
MEred1,trans,NA
MErosybrown3,trans,NA
MEroyalblue1,trans,NA
MEroyalblue2,trans,NA
MEsalmon,trans,NA
MEseashell3,trans,NA
MEseashell4,trans,NA
MEsienna2,trans,NA
MEskyblue3,trans,NA
MEskyblue4,trans,NA
MEslateblue1,trans,NA
MEslateblue2,trans,NA
MEslateblue3,trans,NA
MEthistle4,trans,NA
MEturquoise4,trans,NA
MEwhitesmoke,trans,NA
MEbrown4,trans,NA
MEbrown1,trans,NA
MEcyan,trans,NA
MEdarkseagreen3,trans,NA
MEplum3,trans,NA
MEcornflowerblue,trans,NA
MEmediumorchid1,trans,NA
MEsteelblue,trans,NA
Segmented,CT,NA
MEdarkblue,trans,NA
MEmistyrose3,trans,NA
MEsteelblue3,trans,NA
MEaliceblue,trans,NA
MEcyan4,trans,NA
MEindianred2,trans,NA
MElightblue4,trans,NA
MEpalegreen3,trans,NA
MEturquoise,trans,NA
MEdarkorchid4,trans,NA
MEdarksalmon,trans,NA
MEgreen1,trans,NA
MEchocolate1,trans,NA
MEhoneydew1,trans,NA
MEpaleturquoise4,trans,NA
MErosybrown2,trans,NA
MEseashell2,trans,NA
MEsienna3,trans,NA
MEvioletred1,trans,NA
MEblueviolet,trans,NA
MElemonchiffon3,trans,NA
MElightgoldenrod4,trans,NA
MEkhaki3,trans,NA
MElightgreen,trans,NA
MEmediumorchid3,trans,NA
MElightblue1,trans,NA
Size_UD,CT,NA
MEchocolate3,trans,NA
MElavenderblush2,trans,NA
MEmediumorchid,trans,NA
MEchocolate2,trans,NA
MEgoldenrod3,trans,NA
MEhotpink2,trans,NA
MEplum,trans,NA
MEantiquewhite2,trans,NA
MEdarkgrey,trans,NA
MEchocolate,trans,NA
MEhotpink4,trans,NA
MEpalevioletred2,trans,NA
MEorange4,trans,NA
MEgreenyellow,trans,NA
MElavenderblush,trans,NA
MEskyblue1,trans,NA
MElightcyan,trans,NA
MEpink1,trans,NA
MEwhite,trans,NA
MEskyblue2,trans,NA
MEburlywood,trans,NA
MEburlywood3,trans,NA
MEdarkgoldenrod3,trans,NA
MEdarkorange,trans,NA
MEyellow3,trans,NA
MEorangered2,trans,NA
MEoldlace,trans,NA
MEcoral2,trans,NA
MEorange1,trans,NA
MEpalevioletred3,trans,NA
MEmediumpurple1,trans,NA
MEyellow2,trans,NA
MEburlywood2,trans,NA
MEdarkorchid2,trans,NA
MEdarkseagreen4,trans,NA
MEdarkturquoise,trans,NA
MElightblue3,trans,NA
MEtomato4,trans,NA
MElightyellow,trans,NA
MEbisque1,trans,NA
MEdeepskyblue4,trans,NA
Size_LR,CT,NA
MElightpink1,trans,NA
MEviolet,trans,NA
Size_FR,CT,NA
MEdarkolivegreen1,trans,NA
MErosybrown,trans,NA
MEcoral,trans,NA
MEorangered1,trans,NA
MEthistle2,trans,NA
MEfirebrick2,trans,NA
MElightskyblue,trans,NA
MEred4,trans,NA
MEbisque2,trans,NA
MEfirebrick1,trans,NA
MElightseagreen,trans,NA
MEmagenta4,trans,NA
MEpowderblue,trans,NA
MEslateblue,trans,NA
MEtan2,trans,NA
MEblue1,trans,NA
MEkhaki1,trans,NA
MElightcyan1,trans,NA
MEsteelblue4,trans,NA
MEdarkgoldenrod1,trans,NA
MEdarkseagreen,trans,NA
MElightskyblue4,trans,NA
MEaquamarine1,trans,NA
MEmagenta2,trans,NA
MEpeachpuff3,trans,NA
MEroyalblue3,trans,NA
MEtan4,trans,NA
MElightyellow4,trans,NA
MEcyan1,trans,NA
MEdarkseagreen2,trans,NA
MEmoccasin,trans,NA
MEdarkseagreen1,trans,NA
MEdeeppink,trans,NA
MEmagenta1,trans,NA
MEpink2,trans,NA
MEbrown3,trans,NA
MEdarkgoldenrod,trans,NA
MEfloralwhite,trans,NA
MEblue3,trans,NA
MEburlywood1,trans,NA
MEdodgerblue3,trans,NA
MEyellow4,trans,NA
MElightslateblue,trans,NA
MEsienna1,trans,NA
MEbrown2,trans,NA
MElightgoldenrod2,trans,NA
MEplum1,trans,NA
MEvioletred2,trans,NA
MEsnow,trans,NA
MElightsteelblue,trans,NA
MEorange3,trans,NA
MEpaleturquoise3,trans,NA
MEpurple2,trans,NA
